"abany","abpoor","age","attend","bigbang","cappun","childs","class","closeblk","degree","educ","evolved","fear","fechld","fefam","getahead","gunlaw","happy","hrs1","income06","letdie1","letin1","marhomo","marital","news","obey","paeduc","parsol","partnrs5","pillok","polviews","postlife","pray","premarsx","PRES08","racecen1","rank","relig","region","satjob","sex","sexfreq","spanking","SPKMSLM","thnkself","trust","tvhours","wwwhr","xmarsex"
1,,22,2,,,0,4,5,3,16,,2,4,3,2,2,1,15,25,2,4,1,5,3,,16,,5,2,4,1,4,4,,1,3,2,1,1,1,5,2,2,,,1,5,1
1,1,21,0,1,1,0,3,6,1,12,1,2,,,1,1,1,30,25,,,5,5,,2,,1,6,,5,1,6,,,1,4,2,1,1,1,6,,2,3,2,,,1
1,2,42,0,1,,2,3,5,1,12,1,2,,,3,2,2,60,23,,,1,1,,4,,1,1,,5,1,1,,1,5,6,1,1,3,1,4,,1,5,1,,,2
,,49,0,,1,2,4,,1,13,,,3,2,,,1,,24,1,4,,1,2,2,18,4,1,2,5,1,6,4,2,1,4,1,1,,2,,2,,3,1,4,15,
,,70,1,,2,3,1,,3,16,2,,3,3,,,1,,19,2,2,,4,2,4,,1,1,2,2,,1,4,1,2,5,1,2,,2,,1,,1,2,3,4,
1,1,50,0,,2,2,3,5,3,19,,1,3,4,2,1,1,,15,1,5,1,2,1,,14,,,1,4,1,1,4,1,1,2,1,2,,2,,,2,,,4,0,3
,,35,3,,1,2,2,,2,15,,,3,3,,,2,,16,1,5,,1,5,3,14,4,1,2,4,1,4,4,,1,5,1,2,1,2,6,2,,1,2,3,2,
2,2,24,3,,2,3,2,5,0,11,,2,,,1,1,2,,5,,,1,4,,1,,2,,,4,2,5,,,5,5,2,2,2,2,,,2,4,2,,,1
2,2,28,0,,,2,3,9,0,9,,2,3,3,2,1,3,,1,1,,3,1,3,,,,3,2,6,2,6,4,1,2,3,4,2,2,2,2,1,2,,,,,1
1,1,28,2,1,2,0,2,7,3,17,1,1,,,2,1,2,40,16,,,1,5,,5,14,2,5,,2,,2,,1,1,5,4,2,2,2,4,,1,2,,,,2
2,2,55,7,,1,6,1,9,0,10,,2,3,2,1,1,1,,1,,5,,3,1,,,,3,2,1,1,2,,2,1,5,2,1,,1,3,2,,,,6,14,3
,,36,0,,2,3,2,,3,16,,,3,3,,,2,20,19,1,3,,5,5,4,,1,1,2,2,1,2,4,,2,5,1,1,2,2,,2,,1,2,2,6,
,2,28,0,,2,4,1,5,1,12,,1,,,1,1,3,,8,,,1,5,,2,,,2,,4,1,6,,,1,5,4,1,,2,3,,1,3,2,,,1
2,2,59,8,,,6,4,5,1,12,,,3,2,1,1,1,,14,2,4,5,3,4,,,,2,,,1,1,1,1,2,3,1,1,,2,3,1,2,,,2,,1
,,52,3,1,2,4,2,,0,4,1,,2,2,,,3,32,,2,2,,5,3,3,3,1,2,2,7,1,1,4,,,10,2,1,3,1,4,3,,2,2,2,1,
,,36,7,,1,3,2,,1,12,,,2,3,,,2,60,19,1,3,,1,1,5,9,1,1,,4,1,4,1,,1,5,2,1,2,1,5,2,,1,2,2,7,
,,47,5,,2,5,3,,1,13,,,4,4,,,2,40,18,1,5,,3,3,3,,2,1,3,6,1,2,4,1,2,4,1,2,1,2,1,3,,2,2,3,2,
2,2,55,4,,2,6,2,7,1,12,,1,,,2,1,2,40,20,,,4,1,,3,,2,,,4,2,4,,,,5,2,2,2,1,,,2,2,2,,,1
2,2,18,2,,1,0,1,7,1,12,,1,2,3,1,1,2,,14,1,3,1,5,4,,,,2,3,4,1,6,4,,5,7,2,2,,2,1,3,2,,,5,5,1
2,,76,7,,2,8,2,5,0,0,,1,,,3,1,3,,,,,5,4,,1,5,4,0,,7,1,1,,1,5,1,2,2,2,2,,,2,3,2,,,1
2,2,39,3,1,,1,4,2,0,10,2,1,,,1,1,2,12,18,,,5,5,,1,4,1,1,,7,1,2,,1,5,5,2,2,2,1,6,,2,5,2,,,1
