"id","educ","jobcat","salary","nonwhite","gender","yearlap","clerical","custod","manager"
1,15,3,57000,0,0,0,0,0,1
2,16,1,40200,0,0,0,1,0,0
3,12,1,21450,0,1,0,1,0,0
4,8,1,21900,0,1,0,1,0,0
5,15,1,45000,0,0,0,1,0,0
6,15,1,32100,0,0,0,1,0,0
7,15,1,36000,0,0,0,1,0,0
8,12,1,21900,0,1,0,1,0,0
9,15,1,27900,0,1,0,1,0,0
10,12,1,24000,0,1,0,1,0,0
11,16,1,30300,0,1,0,1,0,0
12,8,1,28350,1,0,0,1,0,0
13,15,1,27750,1,0,0,1,0,0
14,15,1,35100,1,1,0,1,0,0
15,12,1,27300,0,0,1,1,0,0
16,12,1,40800,0,0,1,1,0,0
17,15,1,46000,0,0,1,1,0,0
18,16,3,103750,0,0,1,0,0,1
19,12,1,42300,0,0,1,1,0,0
20,12,1,26250,0,1,1,1,0,0
21,16,1,38850,0,1,1,1,0,0
22,12,1,21750,1,0,1,1,0,0
23,15,1,24000,1,1,1,1,0,0
24,12,1,16950,1,1,1,1,0,0
25,15,1,21150,1,1,1,1,0,0
26,15,1,31050,0,0,2,1,0,0
27,19,3,60375,0,0,2,0,0,1
28,15,1,32550,0,0,2,1,0,0
29,19,3,135000,0,0,2,0,0,1
30,15,1,31200,0,0,2,1,0,0
31,12,1,36150,0,0,2,1,0,0
32,19,3,110625,0,0,2,0,0,1
33,15,1,42000,0,0,2,1,0,0
34,19,3,92000,0,0,2,0,0,1
35,17,3,81250,0,0,2,0,0,1
36,8,1,31350,0,1,2,1,0,0
37,12,1,29100,1,0,2,1,0,0
38,15,1,31350,1,0,2,1,0,0
39,16,1,36000,1,0,2,1,0,0
40,15,1,19200,1,1,2,1,0,0
41,12,1,23550,1,1,2,1,0,0
42,15,1,35100,0,0,3,1,0,0
43,12,1,23250,0,0,3,1,0,0
44,8,1,29250,0,0,3,1,0,0
45,12,2,30750,0,0,3,0,1,0
46,15,1,22350,0,1,3,1,0,0
47,12,1,30000,0,1,3,1,0,0
48,12,2,30750,0,0,4,0,1,0
49,15,1,34800,0,0,4,1,0,0
50,16,3,60000,0,0,4,0,0,1
51,12,1,35550,0,0,4,1,0,0
52,15,1,45150,0,0,4,1,0,0
53,18,3,73750,0,0,4,0,0,1
54,12,1,25050,0,0,4,1,0,0
55,12,1,27000,0,0,4,1,0,0
56,15,1,26850,0,0,4,1,0,0
57,15,1,33900,0,0,4,1,0,0
58,15,1,26400,0,1,4,1,0,0
59,15,1,28050,1,0,4,1,0,0
60,12,1,30900,1,0,4,1,0,0
61,8,1,22500,1,0,4,1,0,0
62,16,3,48000,0,0,5,0,0,1
63,17,3,55000,0,0,5,0,0,1
64,16,3,53125,0,0,5,0,0,1
65,8,1,21900,0,0,5,1,0,0
66,19,3,78125,0,0,5,0,0,1
67,16,3,46000,0,0,5,0,0,1
68,16,3,45250,0,0,5,0,0,1
69,16,3,56550,0,0,5,0,0,1
70,15,1,41100,0,0,5,1,0,0
71,17,3,82500,0,0,5,0,0,1
72,16,1,54000,0,1,5,1,0,0
73,12,1,26400,0,1,5,1,0,0
74,15,1,33900,0,1,5,1,0,0
75,15,1,24150,0,1,5,1,0,0
76,15,1,29250,0,1,5,1,0,0
77,12,1,27600,0,1,5,1,0,0
78,12,1,22950,0,1,5,1,0,0
79,16,1,34800,0,1,5,1,0,0
80,16,1,51000,0,1,5,1,0,0
81,12,1,24300,0,1,5,1,0,0
82,12,1,24750,1,1,5,1,0,0
83,12,1,22950,1,1,5,1,0,0
84,8,1,25050,1,1,5,1,0,0
85,15,1,25950,0,0,6,1,0,0
86,15,1,31650,0,0,6,1,0,0
87,12,1,24150,0,0,6,1,0,0
88,19,3,72500,0,0,6,0,0,1
89,19,3,68750,0,0,6,0,0,1
90,8,1,16200,0,1,6,1,0,0
91,12,1,20100,0,1,6,1,0,0
92,8,1,24000,0,1,6,1,0,0
93,12,1,25950,0,1,6,1,0,0
94,12,1,24600,0,1,6,1,0,0
95,12,1,28500,0,1,6,1,0,0
96,8,2,30750,1,0,6,0,1,0
97,17,1,40200,1,0,6,1,0,0
98,8,2,30000,1,0,6,0,1,0
99,12,1,22050,1,1,6,1,0,0
100,18,3,78250,0,0,7,0,0,1
101,16,3,60625,0,0,7,0,0,1
102,14,1,39900,0,0,7,1,0,0
103,19,3,97000,0,0,7,0,0,1
104,15,1,27450,0,0,7,1,0,0
105,15,1,31650,0,0,7,1,0,0
106,19,3,91250,0,0,7,0,0,1
107,12,1,25200,0,1,7,1,0,0
108,12,1,21000,0,1,7,1,0,0
109,12,1,30450,1,0,7,1,0,0
110,15,1,28350,1,0,7,1,0,0
111,12,2,30750,1,0,7,0,1,0
112,12,2,30750,1,0,7,0,1,0
113,16,3,54875,0,0,8,0,0,1
114,14,1,37800,0,0,8,1,0,0
115,15,1,33450,0,0,8,1,0,0
116,15,1,30300,0,0,8,1,0,0
117,12,1,31500,0,1,8,1,0,0
118,12,1,31650,0,1,8,1,0,0
119,12,1,25200,0,1,8,1,0,0
120,16,3,37800,0,1,8,0,0,1
121,15,1,18750,0,1,8,1,0,0
122,15,1,32550,0,1,8,1,0,0
123,12,1,33300,0,1,8,1,0,0
124,16,1,38550,0,1,8,1,0,0
125,12,1,27450,1,0,8,1,0,0
126,15,2,24300,1,0,8,0,1,0
127,12,2,30750,1,0,8,0,1,0
128,12,1,19650,1,1,8,1,0,0
129,17,3,68750,0,0,9,0,0,1
130,20,3,59375,0,0,9,0,0,1
131,15,1,31500,0,0,9,1,0,0
132,12,1,27300,0,0,9,1,0,0
133,15,1,27000,0,0,9,1,0,0
134,16,3,41550,0,1,9,0,0,1
135,12,1,26250,0,1,9,1,0,0
136,12,1,22200,0,0,10,1,0,0
137,21,3,65000,0,0,10,0,0,1
138,12,1,30900,0,0,10,1,0,0
139,8,1,20100,0,1,10,1,0,0
140,12,1,22350,0,1,10,1,0,0
141,15,1,35550,0,1,10,1,0,0
142,12,1,28500,0,1,10,1,0,0
143,12,1,24450,0,1,10,1,0,0
144,8,1,16650,0,1,10,1,0,0
145,12,1,26700,1,0,10,1,0,0
146,18,1,43950,1,0,10,1,0,0
147,15,1,23700,1,0,10,1,0,0
148,15,1,26550,1,1,10,1,0,0
149,12,1,27600,0,0,11,1,0,0
150,12,1,25800,0,0,11,1,0,0
151,16,3,42300,0,0,11,0,0,1
152,8,2,30750,0,0,11,0,1,0
153,12,1,26700,0,1,11,1,0,0
154,12,1,20850,0,1,11,1,0,0
155,15,1,35250,1,0,11,1,0,0
156,15,1,26700,1,0,11,1,0,0
157,12,1,26550,1,1,11,1,0,0
158,12,1,27750,1,1,11,1,0,0
159,16,1,25050,1,1,11,1,0,0
160,16,3,66000,0,0,12,0,0,1
161,16,1,52650,0,0,12,1,0,0
162,16,3,45625,0,0,12,0,0,1
163,15,1,30900,0,0,12,1,0,0
164,15,1,29400,0,1,12,1,0,0
165,15,1,33300,0,1,12,1,0,0
166,12,1,21900,0,1,12,1,0,0
