dataset,variable,description
EducationalEvaluation,classsize,Average Class Size
EducationalEvaluation,score@end,Score on reading test at end of year
EducationalEvaluation,score@beginning,Score at the beginning of the year
EducationalEvaluation,absences,Days absent during the year
EducationalEvaluation,program,Program type chosen: 1 = Computer based instruction 2= Peer instruction 3 = Parent enrichment
EducationalEvaluation,parent_ed,Parental level of education
Elderly,age,Age (years)
Elderly,female,Female (0= male 1 = female)
Elderly,highest,Highest grade attained in formal education
Elderly,marital,Marital status ( 0 = not married 1 = married)
Elderly,hincome,Household income ($)
GSS2012,abany,ABORTION IF WOMAN WANTS FOR ANY REASON: 0 =IAP 1 = YES 2 = NO 8 = DK 9 = NA
GSS2012,abpoor,LOW INCOME--CANT AFFORD MORE CHILDREN: 0 = IAP 1 = YES 2 = NO 8 = DK 9 = NA
GSS2012,age,AGE OF RESPONDENT
GSS2012,attend,HOW OFTEN R ATTENDS RELIGIOUS SERVICES: 0 = NEVER 1 = LT ONCE A YEAR 2 = ONCE A YEAR 3 = SEVRL TIMES A YR 4 = ONCE A MONTH 5 =2-3X A MONTH 6 = NRLY EVERY WEEK  7 = EVERY WEEK 8 = MORE THAN ONCE A WEEK 9 =DKNA
GSS2012,bigbang,SCI KNOWLEDGE:THE UNIVERSE BEGAN WITH A HUGE EXPLOSION: 0 = IAP 1 = TRUE 2 = FALSE 8 = DONT KNOW 9 = NO ANSWER
GSS2012,cappun,FAVOR OR OPPOSE DEATH PENALTY FOR MURDER: 0 = IAP 1 = FAVOR 2 = OPPOSE 8 = DK 9 = NA
GSS2012,childs,NUMBER OF CHILDREN
GSS2012,class,SUBJECTIVE CLASS IDENTIFICATION: 0 = IAP 1 = Lower class 2 = Working Class 3 = Middle class 4 = Upper Class 5 = No Class 8 = DK 9 = NA 
GSS2012,closeblk,HOW CLOSE FEEL TO BLACKS: 0 = IAP 1 = NOT AT ALL CLOSE 5 = NEITHER OR THE OTHER 9 = VERY CLOSE 98 = DK 99 = NA
GSS2012,degree,RS HIGHEST DEGREE: 0 = LT HIGH SCHOOL 1 = HIGH SCHOOL 2 = JUNIOR COLLEGE 3 = BACHELOR 4 = GRADUATE 7 =IAP 8 = DK
GSS2012,educ,HIGHEST YEAR OF SCHOOL COMPLETED 
GSS2012,evolved,SCI KNOWLEDGE:HUMAN BEINGS DEVELOPED FROM ANIMALS: 0 = IAP 1 = True 2 = False 8 = Dont Know 9 = No Answer
GSS2012,fear,AFRAID TO WALK AT NIGHT IN NEIGHBORHOOD: 0 = IAP 1 = YES 2 = NO 8 = DK 9 = NA
GSS2012,fechld,MOTHER WORKING DOESNT HURT CHILDREN: 0= IAP 1 = Strongly Disagree 2 = Disagree 3 = Agree 4 = Strongly Agree 8 = DK 9 = NA
GSS2012,fefam,BETTER FOR MAN TO WORK WOMAN TEND HOME: 0= IAP 1 = Strongly Disagree 2 = Disagree 3 = Agree 4 = Strongly Agree 8 = DK 9 = NA
GSS2012,getahead,OPINION OF HOW PEOPLE GET AHEAD: 0 = IAP 1 = HARD WORK 2 = BOTH EQUALLY 3 = LUCK OR HELP 4 = OTHER 8 = DK 9 = NA
GSS2012,gunlaw,FAVOR OR OPPOSE GUN PERMITS: 0 =IAP 1 = FAVOR 2 = OPPOSE 8 = DK 9 = NA
GSS2012,happy,GENERAL HAPPINESS : 0 = IAP 1 = VERY HAPPY 2 = PRETTY HAPPY 3 = NOT TOO HAPPY 8 = DK 9 = NA
GSS2012,hrs1,NUMBER OF HOURS WORKED LAST WEEK
GSS2012,income06,Total Family Income: 0 = IAP 1 = UNDER $1000 2 = $1 000 to 2 999 3 = $3 000 to $3 999ƒ.8 = $ 8 000 to $9 999 9 = $10 000 - 12 499 10 = $12 500 to 14 999 11 = $15 000 to 17 499 12 = $17500 to 19999 16 = $30 000 to $34 999 17 = $35 000 to  $39 999 18 = $40 000 to $ 49 999 19 = $50 000 to 59 999  20 =  $60 000 to 74 999 21 = $75 000 to 89 000 22 = $90 000 to 109 999 23 = $110 000 to 129 999  24 = $130 000 to 149 999 25 = $150 000 or Over 26 = REFUSED 98 = DK 99 = NA
GSS2012,letdie1,ALLOW INCURABLE PATIENTS TO DIE: 0 = IAP 1 = YES 2 = NO 8 = DK 9 = NA
GSS2012,letin1,NUMBER OF IMMIGRANTS TO AMERICA NOWADAYS SHOULD BE: 0 = IAP 1 = Increased a lot 2 = Increased a little 3 = Remain the same as it is 4 = Reduced a little 5 = Reduced a lot 8 = Cant choose 9 = NA
GSS2012,marhomo,HOMOSEXUALS SHOULD HAVE RIGHT TO MARRY: 0= IAP 1 = Strongly Disagree 2 = Disagree 3 = Agree 4 = Strongly Agree 8 = DK 9 = NA
GSS2012,marital,MARITAL STATUS: 1 = MARRIED 2 =  WIDOWED 3 = DIVORCED 4 = SEPARATED 5 = NEVER MARRIED 9 = NA
GSS2012,news,HOW OFTEN DOES R READ NEWSPAPER: 0= IAP 1 = Every day 2 = Few Times a Week 3 = Once A week 4 = Less than once a week 5 = Never 8 = DK 9 = NA
GSS2012,obey,TO OBEY: 0 = IAP 1 = Most important 2 = 2nd Importantƒ5 = Least Important 8 = DK 9 = NA
GSS2012,paeduc,HIGHEST YEAR SCHOOL COMPLETED FATHER
GSS2012,parsol,RS LIVING STANDARD COMPARED TO PARENTS: 0 = IAP 1 = Much Better 2 = Somewhat Better 3 = About the same 4 = Somewhat worse 5 = Much worse 8 = DK 9 = NA
GSS2012,partnrs5,HOW MANY SEX PARTNERS R HAD IN LAST 5 YEARS: -1 = IAP 0 = 0 Partnersƒ5 = 5-10 Partners 6 = 11-20 Partners 7 = 21-100 Partners 8 = More than 100 Partners 9 = 1 or more DK # 98 = DK 99 = NA
GSS2012,pillok,BIRTH CONTROL TO TEENAGERS 14-16: 0= IAP 1 = Strongly Disagree 2 = Disagree 3 = Agree 4 = Strongly Agree 8 = DK 9 = NA
GSS2012,polviews,THINK OF SELF AS LIBERAL OR CONSERVATIVE: 0 = IAP 1 = Extremely Liberal 2 = Liberal 3 = Slightly Liberal 4 = Moderate 5 = Slightly Conservative 6 = Conservative 7 = Extremely Conservative 8 = DK 9 = NA
GSS2012,postlife,BELIEF IN LIFE AFTER DEATH: 0 =IAP 1 = YES 2 = NO 8 = DK 9 = NA
GSS2012,pray,HOW OFTEN DOES R PRAY: 0= IAP 1 = Every day 2 = Few Times a Week 3 = Once A week 4 = Less than once a week 5 = Never 8 = DK 9 = NA
GSS2012,premarsx,SEX BEFORE MARRIAGE: 0 = IAP 1 = ALWAYS WRONG 2 = ALMST ALWAYS WRG 3 = SOMETIMES WRONG 4 = NOT WRONG AT ALL 5 = OTHER 8 = DK 9 = NA
GSS2012,PRES08,VOTE OBAMA OR MCCAIN: 0 = IAP 1 = Obama 2 = McCain 3 = Other Candidate (Specify) 4 = Didnt vote 8 = DK 9 = NA
GSS2012,racecen1,WHAT IS RS RACE 1ST MENTION: 0 = IAP 1 = White 2 = Black or African American 3 = American Indian or Alaska Native 4 = Asian American or Pacific Islander 5 = Hispanic 98 = DK 99 = NA
GSS2012,rank,RS SELF RANKING OF SOCIAL POSITION
GSS2012,relig,RS RELIGIOUS PREFERENCE: 1 = Protestant 2 = Catholic 3 = Jewish 4 = None 5 = Other 8 = DK 9 = NA
GSS2012,region,REGION OF INTERVIEW: 0 = Not assigned 1 = New England 2 = Middle Atlantic 3 = E.Nor.Central 4 = W.Nor.Central 5 = Sputh Atlantic 6 = E.Sou.Central 7 = W.Sou.Central 8 = Mountain 9 = Pacific
GSS2012,satjob,JOB OR HOUSEWORK: 0 = IAP 1 = very satisfied 2 = mod. Satisified 3 = A little dissat 4 = very dissatisifed 8 = DK 9 = NA
GSS2012,sex,RESPONDENTS SEX : 1 = Male 2 = Female
GSS2012,sexfreq,FREQUENCY OF SEX DURING LAST YEAR: -1 = IAP 0 = Not at all 1 = Once or Twice 2 = Once a Month 3 = 2-3 Times a month 4 = weekly 5 = 2-3 per week 6 = 4+ per week 8 = DK 9 =NA
GSS2012,spanking,FAVOR SPANKING TO DISCIPLINE CHILD: 0= IAP 1 = Strongly Disagree 2 = Disagree 3 = Agree 4 = Strongly Agree 8 = DK 9 = NA
GSS2012,SPKMSLM,ALLOW MUSLIM CLERGYMEN PREACHING HATRED OF THE US: 0 = IAP 1 = Yes allowed 2 = Not allowed 8 = Dont know 9 = NA
GSS2012,thnkself,TO THINK FOR ONES SELF: 0 = IAP 1 = Most important 2 = 2nd Importantƒ5 = Least Important 8 = DK 9 = NA
GSS2012,trust,CAN PEOPLE BE TRUSTED:  0 = IAP  1 =CAN TRUST 2 = CANNOT TRUST 8 = DK 9 = NA
GSS2012,tvhours,HOURS PER DAY WATCHING TV
GSS2012,wwwhr,WWW HOURS PER WEEK
GSS2012,xmarsex,SEX WITH PERSON OTHER THAN SPOUSE: 0 = IAP 1 = ALWAYS WRONG 2 = ALMST ALWAYS WRG 3 = SOMETIMES WRONG 4 = NOT WRONG AT ALL 5 = OTHER 8 = DK 9 = NA
GSS 93 Subset,id,Respondent ID Number
